"","geoid","name","variable","estimate"
"1","01","Alabama","pop_housed",4731852
"2","01","Alabama","pop_renter",1434765
"3","01","Alabama","median_rent",747
"4","02","Alaska","pop_housed",710743
"5","02","Alaska","pop_renter",241484
"6","02","Alaska","median_rent",1200
"7","04","Arizona","pop_housed",6656124
"8","04","Arizona","pop_renter",2460534
"9","04","Arizona","median_rent",972
"10","05","Arkansas","pop_housed",2894098
"11","05","Arkansas","pop_renter",965690
"12","05","Arkansas","median_rent",709
"13","06","California","pop_housed",38168482
"14","06","California","pop_renter",17066023
"15","06","California","median_rent",1358
"16","08","Colorado","pop_housed",5318396
"17","08","Colorado","pop_renter",1782975
"18","08","Colorado","median_rent",1125
"19","09","Connecticut","pop_housed",3478451
"20","09","Connecticut","pop_renter",1053739
"21","09","Connecticut","median_rent",1123
"22","10","Delaware","pop_housed",918625
"23","10","Delaware","pop_renter",255558
"24","10","Delaware","median_rent",1076
"25","11","District of Columbia","pop_housed",632449
"26","11","District of Columbia","pop_renter",354285
"27","11","District of Columbia","median_rent",1424
"28","12","Florida","pop_housed",19847798
"29","12","Florida","pop_renter",7099078
"30","12","Florida","median_rent",1077
"31","13","Georgia","pop_housed",9943137
"32","13","Georgia","pop_renter",3592422
"33","13","Georgia","median_rent",927
"34","15","Hawaii","pop_housed",1377486
"35","15","Hawaii","pop_renter",544005
"36","15","Hawaii","median_rent",1507
"37","16","Idaho","pop_housed",1627495
"38","16","Idaho","pop_renter",483568
"39","16","Idaho","median_rent",792
"40","17","Illinois","pop_housed",12553961
"41","17","Illinois","pop_renter",3930208
"42","17","Illinois","median_rent",952
"43","18","Indiana","pop_housed",6425770
"44","18","Indiana","pop_renter",1860664
"45","18","Indiana","median_rent",782
"46","19","Iowa","pop_housed",3017668
"47","19","Iowa","pop_renter",788828
"48","19","Iowa","median_rent",740
"49","20","Kansas","pop_housed",2823480
"50","20","Kansas","pop_renter",869875
"51","20","Kansas","median_rent",801
"52","21","Kentucky","pop_housed",4293245
"53","21","Kentucky","pop_renter",1348180
"54","21","Kentucky","median_rent",713
"55","22","Louisiana","pop_housed",4534218
"56","22","Louisiana","pop_renter",1499963
"57","22","Louisiana","median_rent",825
"58","23","Maine","pop_housed",1294208
"59","23","Maine","pop_renter",319823
"60","23","Maine","median_rent",808
"61","24","Maryland","pop_housed",5855584
"62","24","Maryland","pop_renter",1834573
"63","24","Maryland","median_rent",1311
"64","25","Massachusetts","pop_housed",6538591
"65","25","Massachusetts","pop_renter",2200434
"66","25","Massachusetts","median_rent",1173
"67","26","Michigan","pop_housed",9695870
"68","26","Michigan","pop_renter",2594285
"69","26","Michigan","median_rent",824
"70","27","Minnesota","pop_housed",5357190
"71","27","Minnesota","pop_renter",1350634
"72","27","Minnesota","median_rent",906
"73","28","Mississippi","pop_housed",2892138
"74","28","Mississippi","pop_renter",923505
"75","28","Mississippi","median_rent",740
"76","29","Missouri","pop_housed",5900263
"77","29","Missouri","pop_renter",1807005
"78","29","Missouri","median_rent",784
"79","30","Montana","pop_housed",1001023
"80","30","Montana","pop_renter",303158
"81","30","Montana","median_rent",751
